"Statistic Label","CensusYear","County","Sex","UNIT","VALUE"
"Population at Each Census","1841","State","Both sexes","Number","6528799"
"Population at Each Census","1841","State","Male","Number","3222485"
"Population at Each Census","1841","State","Female","Number","3306314"
"Population at Each Census","1841","Carlow","Both sexes","Number","86228"
"Population at Each Census","1841","Carlow","Male","Number","42428"
"Population at Each Census","1841","Carlow","Female","Number","43800"
"Population at Each Census","1841","Dublin","Both sexes","Number","372773"
"Population at Each Census","1841","Dublin","Male","Number","170930"
"Population at Each Census","1841","Dublin","Female","Number","201843"
"Population at Each Census","1841","Kildare","Both sexes","Number","114488"
"Population at Each Census","1841","Kildare","Male","Number","58030"
"Population at Each Census","1841","Kildare","Female","Number","56458"
"Population at Each Census","1841","Kilkenny","Both sexes","Number","202420"
"Population at Each Census","1841","Kilkenny","Male","Number","99114"
"Population at Each Census","1841","Kilkenny","Female","Number","103306"
"Population at Each Census","1841","Laois","Both sexes","Number","153930"
"Population at Each Census","1841","Laois","Male","Number","76403"
"Population at Each Census","1841","Laois","Female","Number","77527"
"Population at Each Census","1841","Longford","Both sexes","Number","115491"
"Population at Each Census","1841","Longford","Male","Number","57610"
"Population at Each Census","1841","Longford","Female","Number","57881"
"Population at Each Census","1841","Louth","Both sexes","Number","128240"
"Population at Each Census","1841","Louth","Male","Number","62297"
"Population at Each Census","1841","Louth","Female","Number","65943"
"Population at Each Census","1841","Meath","Both sexes","Number","183828"
"Population at Each Census","1841","Meath","Male","Number","92494"
"Population at Each Census","1841","Meath","Female","Number","91334"
"Population at Each Census","1841","Offaly","Both sexes","Number","146857"
"Population at Each Census","1841","Offaly","Male","Number","72651"
"Population at Each Census","1841","Offaly","Female","Number","74206"
"Population at Each Census","1841","Westmeath","Both sexes","Number","141300"
"Population at Each Census","1841","Westmeath","Male","Number","70383"
"Population at Each Census","1841","Westmeath","Female","Number","70917"
"Population at Each Census","1841","Wexford","Both sexes","Number","202033"
"Population at Each Census","1841","Wexford","Male","Number","97918"
"Population at Each Census","1841","Wexford","Female","Number","104115"
"Population at Each Census","1841","Wicklow","Both sexes","Number","126143"
"Population at Each Census","1841","Wicklow","Male","Number","63489"
"Population at Each Census","1841","Wicklow","Female","Number","62654"
"Population at Each Census","1841","Clare","Both sexes","Number","286394"
"Population at Each Census","1841","Clare","Male","Number","144109"
"Population at Each Census","1841","Clare","Female","Number","142285"
"Population at Each Census","1841","Cork","Both sexes","Number","854118"
"Population at Each Census","1841","Cork","Male","Number","420551"
"Population at Each Census","1841","Cork","Female","Number","433567"
"Population at Each Census","1841","Kerry","Both sexes","Number","293880"
"Population at Each Census","1841","Kerry","Male","Number","147307"
"Population at Each Census","1841","Kerry","Female","Number","146573"
"Population at Each Census","1841","Limerick","Both sexes","Number","330029"
"Population at Each Census","1841","Limerick","Male","Number","161997"
"Population at Each Census","1841","Limerick","Female","Number","168032"
"Population at Each Census","1841","Tipperary","Both sexes","Number","435553"
"Population at Each Census","1841","Tipperary","Male","Number","216650"
"Population at Each Census","1841","Tipperary","Female","Number","218903"
"Population at Each Census","1841","Waterford","Both sexes","Number","196187"
"Population at Each Census","1841","Waterford","Male","Number","95576"
"Population at Each Census","1841","Waterford","Female","Number","100611"
"Population at Each Census","1841","Galway","Both sexes","Number","440198"
"Population at Each Census","1841","Galway","Male","Number","219564"
"Population at Each Census","1841","Galway","Female","Number","220634"
"Population at Each Census","1841","Leitrim","Both sexes","Number","155297"
"Population at Each Census","1841","Leitrim","Male","Number","77501"
"Population at Each Census","1841","Leitrim","Female","Number","77796"
"Population at Each Census","1841","Mayo","Both sexes","Number","388887"
"Population at Each Census","1841","Mayo","Male","Number","194198"
"Population at Each Census","1841","Mayo","Female","Number","194689"
"Population at Each Census","1841","Roscommon","Both sexes","Number","253591"
"Population at Each Census","1841","Roscommon","Male","Number","127016"
"Population at Each Census","1841","Roscommon","Female","Number","126575"
"Population at Each Census","1841","Sligo","Both sexes","Number","180886"
"Population at Each Census","1841","Sligo","Male","Number","89563"
"Population at Each Census","1841","Sligo","Female","Number","91323"
"Population at Each Census","1841","Cavan","Both sexes","Number","243158"
"Population at Each Census","1841","Cavan","Male","Number","120814"
"Population at Each Census","1841","Cavan","Female","Number","122344"
"Population at Each Census","1841","Donegal","Both sexes","Number","296448"
"Population at Each Census","1841","Donegal","Male","Number","145821"
"Population at Each Census","1841","Donegal","Female","Number","150627"
"Population at Each Census","1841","Monaghan","Both sexes","Number","200442"
"Population at Each Census","1841","Monaghan","Male","Number","98071"
